supersense_category	text
noun.Tops	beings
noun.state	survival
noun.state	survival
verb.communication	manifested
verb.contact	withdrawn
noun.person	gods
noun.person	monsters
noun.person	beings
noun.cognition	sorts
noun.person	Algernon Blackwood
noun.location	Clay
noun.cognition	inability
verb.cognition	correlate
noun.Tops	contents
noun.cognition	ignorance
noun.location	midst
noun.object	black seas
noun.attribute	infinity
verb.motion	voyage
noun.cognition	sciences
verb.contact	straining
verb.emotion	harmed
verb.contact	piecing
verb.communication	open up
noun.time	vistas
verb.body	go
noun.communication	revelation
verb.motion	flee
noun.time	dark age
noun.person	Theosophists
noun.attribute	grandeur
noun.time	cycle
noun.group	human race
verb.social	form
noun.event	incidents
noun.event	survivals
verb.creation	masked
noun.feeling	optimism
noun.animal	aeons
verb.emotion	chills
verb.emotion	maddens
verb.creation	dream
noun.communication	glimpses
noun.state	truth
verb.stative	flashed out
verb.contact	piecing
noun.person	professor
verb.contact	piecing
verb.possession	supply
noun.person	professor
verb.creation	began
noun.person	uncle
noun.person	George Gammell Angell
noun.person	Professor Emeritus
noun.group	Semitic Languages
noun.group	Brown University
noun.location	Providence
noun.location	Rhode Island
noun.person	Professor Angell
noun.communication	inscriptions
verb.social	resorted
noun.person	heads
noun.group	museums
noun.event	passing
verb.change	intensified
noun.attribute	obscurity
noun.act	cause
noun.person	professor
verb.emotion	stricken
noun.location	Newport
verb.motion	jostled
noun.person	negro
noun.artifact	courts
noun.object	hillside
noun.location	waterfront
noun.person	deceased
noun.location	Williams Street
noun.person	Physicians
noun.state	disorder
verb.cognition	concluded
noun.communication	debate
noun.state	lesion
verb.creation	induced
verb.communication	dissent
noun.communication	dictum
verb.communication	inclined
noun.person	uncle
noun.person	heir
noun.person	executor
verb.stative	died
noun.person	widower
verb.communication	go over
noun.attribute	thoroughness
verb.communication	correlated
verb.communication	published
verb.emotion	shewing
verb.cognition	occurred
noun.possession	ring
noun.person	professor
verb.social	succeeded
verb.competition	confronted
noun.communication	bas
noun.artifact	relief
noun.communication	jottings
noun.communication	ramblings
noun.act	cuttings
noun.person	uncle
noun.act	impostures
verb.cognition	search out
noun.person	sculptor
noun.event	disturbance
noun.feeling	peace of mind
noun.artifact	bas
noun.artifact	relief
noun.quantity	inches
noun.artifact	designs
noun.artifact	vagaries
noun.group	cubism
noun.communication	futurism
verb.creation	reproduce
noun.attribute	regularity
verb.stative	lurks
noun.communication	writing
noun.act	writing
noun.cognition	familiarity
noun.group	collections
noun.person	uncle
verb.communication	hint at
noun.attribute	affiliations
noun.artifact	hieroglyphics
noun.act	execution
verb.communication	forbade
noun.cognition	fancy
verb.creation	conceive
verb.possession	yielded
noun.animal	octopus
noun.communication	caricature
noun.attribute	spirit
verb.stative	surmounted
noun.artifact	whole
noun.communication	writing
noun.state	oddity
noun.communication	press cuttings
noun.person	Professor Angell
noun.attribute	pretence
noun.communication	characters
verb.social	avoid
noun.act	reading
noun.communication	manuscript
noun.group	sections
verb.cognition	headed
noun.person	H. A. Wilcox
noun.location	Thomas St.
noun.location	Providence
noun.location	R.I.
noun.communication	Narrative
noun.person	Inspector John R. Legrasse
noun.location	Bienville St.
noun.location	New Orleans
noun.location	La.
noun.person	A. A. S. Mtg.—Notes
noun.person	Prof. Webb
noun.communication	manuscript
noun.communication	accounts
noun.communication	citations
noun.person	W. Scott
noun.person	Elliot
noun.location	Atlantis
noun.location	Lost Lemuria
verb.communication	comments
noun.group	societies
noun.Tops	cults
noun.communication	references
noun.communication	passages
noun.communication	source
noun.person	Frazer
noun.person	Miss Murray
noun.location	Western Europe
noun.communication	cuttings
verb.communication	alluded
noun.state	mental illnesses
noun.event	outbreaks
noun.feeling	folly
noun.feeling	mania
noun.communication	manuscript
verb.perception	appears
noun.time	March 1st
noun.person	Professor Angell
verb.stative	bearing
noun.artifact	bas - relief
noun.person	Henry Anthony Wilcox
noun.person	uncle
verb.cognition	recognised
noun.group	Rhode Island School of Design
noun.location	Fleur - de - Lys Building
noun.group	institution
noun.person	Wilcox
noun.cognition	genius
noun.attribute	eccentricity
verb.emotion	excited
verb.communication	relating
noun.person	folk
verb.communication	dismissed
verb.change	dropped
noun.person	aesthetes
noun.location	towns
noun.group	Providence Art Club
verb.stative	preserve
noun.cognition	conservatism
noun.person	professor
noun.communication	manuscript
noun.person	sculptor
noun.person	host
verb.cognition	identifying
noun.artifact	hieroglyphics
noun.communication	bas
noun.artifact	relief
noun.attribute	pose
verb.emotion	alienated
noun.feeling	sympathy
noun.person	uncle
verb.communication	shewed
noun.cognition	sharpness
verb.communication	replying
noun.attribute	freshness
noun.artifact	tablet
noun.relation	kinship
noun.cognition	archaeology
noun.person	Young
noun.person	Wilcox
noun.communication	rejoinder
verb.emotion	impressed
noun.person	uncle
verb.stative	typified
verb.cognition	brooding
noun.person	Tyre
verb.emotion	won
noun.person	uncle
noun.event	earthquake
noun.event	tremor
noun.location	New England
noun.person	Wilcox
verb.emotion	affected
verb.motion	retiring
noun.object	Cyclopean cities
noun.object	titan blocks
noun.object	monoliths
verb.contact	dripping
noun.substance	ooze
noun.artifact	Hieroglyphics
noun.artifact	pillars
noun.person	fancy
verb.change	transmute
verb.social	attempted
verb.creation	render
noun.communication	jumble
noun.person	Cthulhu fhtagn
noun.communication	jumble
noun.cognition	recollection
verb.emotion	excited
verb.emotion	disturbed
noun.person	Professor Angell
verb.communication	questioned
noun.person	sculptor
noun.attribute	minuteness
noun.attribute	relief
noun.person	uncle
verb.communication	blamed
noun.state	old age
noun.person	Wilcox
noun.cognition	slowness
verb.cognition	recognising
noun.artifact	hieroglyphics
noun.Tops	cults
noun.group	societies
noun.person	Wilcox
noun.communication	promises
noun.person	Professor Angell
noun.person	sculptor
noun.cognition	lore
verb.competition	besieged
noun.attribute	fruit
noun.communication	interview
noun.communication	manuscript
verb.communication	records
verb.cognition	related
noun.cognition	imagery
noun.event	vista
noun.feeling	intelligence
noun.communication	gibberish
noun.event	sounds
verb.creation	rendered
noun.person	Cthulhu
noun.time	March
noun.communication	manuscript
noun.person	Wilcox
noun.location	Waterman Street
verb.body	cried out
verb.emotion	arousing
verb.communication	manifested
noun.attribute	alternations
noun.attribute	unconsciousness
noun.state	delirium
noun.person	uncle
verb.communication	telephoned
noun.act	watch
noun.location	Thayer Street
noun.person	Dr. Tobey
verb.cognition	dwelling
noun.communication	repetition
verb.communication	touched
noun.person	Dr. Tobey
noun.person	professor
noun.person	monstrosity
verb.cognition	sought
verb.creation	depict
noun.communication	Reference
noun.event	prelude
noun.event	subsidence
noun.attribute	temperature
verb.communication	suggest
noun.state	mental disorder
noun.time	April
noun.time	p.m.
noun.person	Wilcox
verb.emotion	astonished
noun.time	March
noun.person	physician
noun.person	Professor Angell
noun.act	assistance
noun.cognition	traces
noun.cognition	dreaming
noun.person	uncle
noun.communication	accounts
noun.cognition	visions
noun.cognition	part
noun.communication	manuscript
noun.communication	references
noun.cognition	scepticism
verb.stative	forming
verb.communication	account for
noun.feeling	distrust
verb.stative	covering
noun.person	Wilcox
noun.act	visitations
noun.person	uncle
verb.social	instituted
noun.cognition	inquiries
noun.communication	impertinence
noun.time	dates
noun.event	visions
noun.communication	correspondence
verb.possession	preserved
noun.communication	digest
noun.location	New England
noun.event	cases
noun.time	March
noun.time	April
noun.person	Wilcox
noun.state	delirium
noun.person	cases
verb.communication	suggest
noun.communication	glimpses
noun.location	landscapes
noun.person	poets
verb.change	broken loose
noun.person	compiler
verb.creation	edited
noun.communication	correspondence
noun.communication	corroboration
verb.communication	resolved
verb.change	continued
noun.person	Wilcox
verb.cognition	cognisant
noun.person	uncle
verb.possession	possessed
verb.communication	imposing
noun.person	scientist
noun.person	aesthetes
noun.time	February
noun.time	28th
noun.time	April
noun.relation	proportion
noun.person	sculptor
noun.state	delirium
noun.relation	fourth
verb.communication	reported
verb.communication	reported
noun.cognition	sounds
noun.person	Wilcox
noun.person	dreamers
verb.communication	confessed
verb.communication	describes
noun.attribute	emphasis
noun.person	architect
noun.communication	leanings
noun.cognition	theosophy
noun.cognition	occultism
noun.time	date
noun.person	young Wilcox
noun.state	seizure
verb.stative	expired
noun.act	screamings
verb.possession	saved
noun.person	denizen
noun.person	uncle
noun.communication	cases
verb.social	attempted
noun.communication	corroboration
noun.cognition	investigation
verb.social	succeeded
verb.cognition	tracing down
verb.cognition	bore out
noun.person	professor
noun.communication	questioning
noun.substance	fraction
noun.communication	press cuttings
verb.communication	intimated
verb.communication	touched on
noun.Tops	cases
noun.feeling	mania
noun.attribute	eccentricity
noun.person	Professor Angell
verb.social	employed
noun.communication	extracts
noun.location	sources
noun.person	sleeper
noun.person	editor
noun.location	South America
noun.person	fanatic
verb.cognition	deduces
noun.cognition	visions
noun.communication	despatch
verb.communication	describes
noun.person	theosophist
verb.body	donning
noun.body	robes
noun.food	fulfilment
verb.motion	arrives
noun.artifact	items
noun.state	unrest
noun.time	March
noun.person	Voodoo
noun.artifact	orgies
verb.change	multiply
noun.location	Hayti
noun.artifact	outposts
noun.communication	mutterings
noun.location	Philippines
noun.location	tribes
verb.social	mobbed
noun.person	Levantines
noun.time	March
noun.location	west
noun.location	Ireland
noun.communication	rumour
noun.communication	legendry
noun.person	painter
noun.person	Ardois
noun.person	Bonnot
noun.location	Dream Landscape
noun.artifact	salon
noun.state	troubles
noun.artifact	insane asylums
noun.state	miracle
noun.group	fraternity
verb.perception	noting
noun.communication	parallelisms
verb.cognition	drawing
noun.cognition	conclusions
noun.artifact	cuttings
noun.time	date
verb.communication	envisage
noun.cognition	rationalism
noun.person	young Wilcox
