	supersense_category	text
0	noun.person	chrome
1	noun.artifact	mall
2	noun.artifact	plaza
3	noun.animal	moth
4	verb.contact	batting
5	noun.substance	neon
6	noun.person	Bobby
7	noun.body	loft
8	noun.artifact	monitor
9	noun.artifact	led
10	noun.artifact	face
11	noun.artifact	matrix
12	noun.artifact	simulator
13	noun.object	chip
16	noun.group	workadayOno
17	noun.location	SendaiVII
18	noun.location	Cyberspaceseven
19	verb.change	rebuild
20	noun.quantity	square
21	noun.quantity	millimeter
24	verb.motion	lean
25	noun.cognition	program
26	noun.artifact	heel
27	noun.person	kid
28	noun.artifact	arcadegame
29	verb.competition	win
30	verb.change	pulldown
31	noun.group	string
32	noun.act	game
33	noun.substance	phosphene
34	verb.motion	boil
35	noun.act	field
36	noun.artifact	Dchessboard
37	noun.communication	russianprogram
38	verb.motion	lurch
39	noun.substance	matrix
40	noun.event	surf
42	verb.cognition	design
43	verb.contact	absorb
44	verb.change	present
45	noun.state	priority
46	verb.stative	encounter
47	noun.communication	congratulation
49	noun.location	EasternSeaboard
50	noun.group	FissionAuthority
51	noun.cognition	probe
52	noun.plant	fiberoptic
53	noun.attribute	equivalent
54	noun.artifact	firesiren
55	noun.artifact	simulationmatrix
56	verb.motion	rush
57	noun.location	chrome
58	noun.location	datumbase
59	noun.artifact	wall
60	noun.substance	chrome
61	noun.body	childface
62	noun.artifact	trench
63	verb.consumption	cook
64	noun.body	cancer
65	noun.artifact	custom
66	noun.event	variation
68	verb.change	blot
69	noun.person	Rikki
71	verb.perception	slant
72	noun.artifact	loft
73	noun.group	grid
74	noun.artifact	camouflage
75	noun.artifact	fatigue
76	noun.artifact	sandal
77	noun.substance	nylon
78	noun.artifact	gearbag
79	noun.act	curl
80	verb.body	tickle
81	verb.contact	button
83	noun.artifact	cotton
84	verb.body	smile
85	noun.person	Sonofabitch
88	noun.group	IRS
89	noun.possession	audit
90	noun.group	SupremeCourt
91	noun.act	subpoena
92	verb.contact	hangon
93	noun.body	ass
94	noun.person	Jack
96	noun.artifact	hall
99	noun.person	cowboy
101	noun.location	ice
102	noun.group	InstrusionCountermeasureselectronic
103	noun.cognition	representation
104	noun.relation	relationship
105	noun.group	datumsystem
106	noun.person	programmer
107	verb.motion	jack
108	noun.person	employer
109	noun.location	sector
110	noun.person	self
111	noun.location	geometry
112	verb.stative	represent
113	noun.location	tower
114	verb.stative	range
115	noun.location	nonspace
116	noun.act	simulation
117	noun.communication	consensus
118	verb.social	facilitate
119	noun.act	handle
120	noun.Tops	quantity
122	verb.social	screen
123	noun.person	hustler
124	noun.person	BobbyQuine
128	noun.person	cracksman
129	noun.person	burglar
130	verb.competition	case
131	noun.artifact	nervoussystem
132	verb.change	rustle
133	noun.possession	credit
135	noun.Tops	concentration
137	noun.person	face
138	noun.location	GentlemanLoser
140	noun.person	rustler
141	noun.person	partner
143	noun.person	automaticJack
145	noun.person	dude
147	noun.person	guy
151	verb.competition	punch
153	verb.possession	rundown
154	noun.quantity	edge
155	noun.person	GentlemanLoser
158	noun.attribute	edge
159	verb.motion	slowdown
162	noun.cognition	score
163	noun.artifact	gear
165	noun.act	lick
166	noun.communication	pat
167	verb.motion	sitback
168	noun.artifact	sweatband
169	verb.contact	whip
170	noun.body	keyboard
171	verb.contact	punch
174	noun.possession	rent
176	noun.communication	tarot
177	noun.act	touch
179	verb.contact	sit
180	verb.motion	slideby
181	noun.object	bug
183	noun.artifact	perfume
184	noun.artifact	fastfood
185	noun.artifact	sunglass
186	verb.contact	scan
188	verb.cognition	wait
189	noun.person	wildcard
190	noun.person	luckchanger
191	verb.cognition	checkout
192	noun.artifact	market
193	noun.substance	software
194	noun.person	Finn
195	noun.artifact	hologram
196	noun.location	METRO
197	noun.animal	deadfly
198	noun.artifact	coat
199	noun.substance	scrap
200	noun.object	drift
201	noun.substance	junk
202	noun.artifact	pressboard
203	noun.artifact	skin
204	noun.group	NationalGeographic
206	verb.creation	tailor
207	noun.artifact	highspeed
208	verb.communication	burrow
209	noun.group	SmithandWesson
210	noun.group	tactical
211	verb.possession	got
212	noun.artifact	projector
213	verb.contact	sling
214	noun.artifact	lightsource
215	verb.perception	spot
216	noun.act	nightfight
217	verb.contact	clunk
218	verb.contact	drum
219	noun.artifact	servo
220	verb.perception	whine
221	noun.animal	mosquito
223	verb.communication	look
224	verb.possession	pawn
225	verb.contact	prod
226	noun.substance	Duralumin
227	noun.body	wristjoint
228	noun.artifact	pen
229	noun.artifact	gun
231	verb.stative	quit
232	noun.artifact	item
234	noun.location	Jersey
236	noun.person	ass
237	noun.artifact	mailer
238	noun.communication	audiocassette
239	noun.artifact	padding
240	noun.communication	passport
241	noun.communication	creditcard
242	noun.person	tbey
244	noun.artifact	furnace
245	verb.contact	put
246	noun.group	card
247	noun.person	Porsche
250	noun.artifact	magazine
251	noun.artifact	assaultrifle
252	verb.contact	coat
253	noun.artifact	edge
254	verb.motion	knockaround
256	noun.time	oldtime
258	verb.possession	get
260	verb.change	repeal
261	noun.state	gravity
262	noun.artifact	suitcase
263	noun.quantity	block
264	noun.artifact	airport
265	noun.state	emergency
266	noun.artifact	sewagecontrol
267	noun.location	Leningrad
268	noun.artifact	suburb
270	noun.person	yahoo
272	noun.location	Kremlin
273	noun.person	bodiless
275	noun.artifact	castle
276	verb.perception	feel
277	verb.stative	surf
279	noun.location	glitch
280	noun.substance	system
281	verb.change	mutate
282	noun.shape	patch
