	supersense_category	text
0	noun.person	SpenceOlham
1	verb.possession	earn
2	noun.person	Olham
3	noun.person	newsmachine
4	noun.communication	dispatch
5	noun.person	outspacer
6	noun.time	vacation
7	noun.act	camping
8	noun.artifact	poisonoak
9	noun.object	gopher
10	noun.location	SuttonWood
11	noun.person	Mary
12	verb.change	clearaway
13	noun.act	flashfire
15	verb.body	sag
16	noun.group	cause
17	verb.emotion	care
18	verb.contact	clamp
19	noun.artifact	needle-ship
21	noun.location	AlphaCentauri
22	verb.motion	bypass
23	noun.location	earthcruiser
24	noun.animal	turtle
25	noun.location	terra
26	verb.communication	demonstrate
27	noun.group	WestinghouseLabs
28	noun.location	earthcity
30	verb.competition	win
31	verb.creation	work
33	noun.communication	sword
34	noun.location	Damocles
35	verb.cognition	feel
36	noun.artifact	porch
37	noun.artifact	shoot
38	noun.animal	bug
39	noun.act	project
40	noun.location	Nelson
41	noun.object	bug
43	noun.person	spence
45	noun.communication	sigh
46	noun.person	Nelson
50	noun.artifact	asteroid
51	verb.social	abandon
52	noun.group	project
53	noun.communication	propaganda
54	noun.communication	newsmachine
55	noun.person	MajorPeters
58	noun.person	Peters
65	noun.quantity	speed
66	verb.motion	flash
67	noun.location	project
69	verb.communication	permit
71	noun.group	securityorgan
73	noun.person	MrOlham
76	verb.contact	arrest
80	verb.body	take
81	verb.body	let
85	verb.communication	murmur
86	noun.artifact	shootcar
87	verb.motion	rushup
88	verb.motion	headinto
94	noun.artifact	vidscreen
95	noun.person	securitychief
96	noun.act	complication
98	noun.artifact	craft
99	noun.event	failure
105	verb.change	wrinkle
106	verb.creation	prepare
107	noun.communication	citation
109	noun.communication	understand
110	verb.stative	require
111	noun.communication	key
112	noun.location	Moonbase
113	noun.communication	notify
115	verb.contact	land
116	noun.state	jeopardy
118	verb.perception	blank
120	noun.substance	protec
121	noun.shape	bubble
123	noun.act	hurry
124	verb.motion	rumble
126	verb.social	take
131	verb.communication	let
135	noun.location	moonward
136	verb.motion	turnover
139	verb.communication	letoff
140	noun.person	robot
143	verb.contact	detonate
144	verb.cognition	conjecture
145	noun.communication	speak
146	verb.change	enter
147	verb.body	resemble
149	noun.substance	chalk
150	verb.creation	impersonate
152	noun.person	official
153	noun.group	researchproject
157	verb.competition	locate
159	verb.social	release
160	noun.time	weekend
164	verb.perception	recognize
165	noun.location	university
167	verb.change	stay
169	verb.communication	snarl
170	noun.person	ted
174	verb.social	gowrong
177	verb.motion	take
178	noun.act	x-ray
179	noun.person	neitherPeters
185	noun.cognition	memorysystem
186	noun.cognition	interest
187	noun.artifact	U-Bomb
189	noun.object	moon
190	verb.contact	disassemble
193	verb.motion	lieback
196	noun.artifact	demolition
197	noun.food	bit
198	verb.contact	pulloff
202	verb.communication	think
203	verb.communication	contact
205	verb.motion	bump
208	verb.motion	bring
209	noun.group	squad
213	noun.artifact	pressuresuit
221	verb.communication	signal
225	verb.contact	tighten
226	noun.artifact	rod
227	verb.motion	rushout
228	verb.contact	hurry
229	noun.state	guilt
232	noun.event	wedding
235	noun.event	plague
236	verb.cognition	show
237	noun.act	hesitation
238	verb.communication	blame
239	verb.social	sacrifice
243	verb.communication	goahead
245	noun.act	run
250	noun.artifact	pressuresystem
251	verb.motion	chug
252	verb.change	restore
255	noun.artifact	controlboard
256	verb.contact	move
257	verb.motion	riseup
260	noun.event	cricket
261	verb.perception	chirp
262	verb.emotion	disturb
264	verb.motion	bentover
270	noun.person	DrChamberlain
272	verb.possession	have
273	noun.artifact	x-ray
274	noun.artifact	fluoroscope
281	noun.person	Chamberlain
282	noun.communication	pretext
283	verb.motion	stepdown
284	noun.artifact	studylight
285	noun.phenomenon	starlight
286	noun.artifact	shootbug
290	noun.person	staffdoctor
292	noun.state	danger
298	verb.perception	peal
301	noun.person	securityofficer
303	verb.competition	fire
305	verb.motion	wriggle
306	verb.motion	leapup
307	verb.contact	snapon
308	verb.motion	jumpdown
309	noun.artifact	backyard
312	verb.motion	goahead
314	verb.contact	park
315	noun.state	wilderness
316	noun.object	forest
318	noun.artifact	Borisgun
320	verb.motion	rigid
324	verb.communication	indicate
325	noun.communication	trigger
328	verb.change	detonate
330	verb.social	search
331	noun.group	cordon
332	noun.quantity	leave
334	verb.motion	moveaway
337	noun.location	settlement
338	verb.stative	begin
340	noun.quantity	mile
341	verb.cognition	measure
342	verb.contact	search
344	noun.person	realOlham
345	verb.change	crash
346	verb.change	breakup
347	verb.emotion	stir
348	noun.artifact	project
351	verb.motion	crash
353	noun.act	pace
354	noun.plant	sunlight
355	verb.motion	filterdown
357	noun.communication	minute
358	noun.object	stump
361	noun.location	wood
362	verb.perception	miss
364	verb.motion	tense
365	verb.stative	dependon
368	verb.communication	callout
369	verb.cognition	hold
370	noun.plant	branch
376	verb.perception	aim
378	noun.person	securityman
381	verb.contact	shoot
384	verb.competition	shoot
387	verb.motion	gooff
388	verb.contact	shutup
390	verb.motion	bentdown
391	verb.perception	poke
394	verb.emotion	assail
395	noun.state	ashe
396	noun.body	perspiration
401	verb.motion	stride
406	verb.motion	comealong
407	verb.motion	rundown
413	verb.contact	takeout
414	verb.change	catchfire
415	verb.change	smoking
419	verb.contact	layopen
420	noun.body	tear
424	verb.communication	breakoff
426	verb.cognition	demonstrate
429	verb.cognition	workout
434	verb.stative	reachout
436	verb.contact	gooff
437	noun.group	demolition
440	verb.contact	grabhold
443	verb.contact	holdon
444	noun.artifact	object
446	verb.change	kill
449	verb.body	chatter
451	verb.perception	whirling
452	noun.communication	sentence
454	noun.person	GarsonPoole
455	noun.artifact	hospitalbed
457	noun.artifact	bedward
458	noun.artifact	analgesic
459	noun.artifact	webs
460	noun.artifact	ped
461	verb.change	glimmer
462	noun.attribute	brilliance
463	verb.communication	dial
464	noun.artifact	outsideline
465	noun.person	LouisDanceman
466	noun.group	Tri-Plan
468	noun.communication	thankGod
469	noun.person	danceman
470	noun.body	surface
471	noun.communication	pockmark
472	verb.contact	flatten
473	noun.person	Poole
474	verb.contact	graft
476	verb.communication	cluck
477	verb.emotion	fuss
479	verb.contact	splunke
480	noun.group	policesystem
482	noun.location	Wyoming
483	noun.possession	lease
484	noun.cognition	option
486	noun.state	surrounding
487	noun.animal	squib
488	noun.artifact	pilot
489	verb.contact	careen
491	verb.contact	pileup
492	noun.Tops	sensation
493	noun.person	SarahBenton
495	verb.motion	hover
496	noun.location	by
497	verb.communication	mothering
498	verb.social	mother
499	noun.person	Sarah
500	verb.body	fall
501	noun.artifact	squib
502	noun.artifact	tierod
503	noun.artifact	steeringfin
506	noun.artifact	fone
508	verb.contact	fone
509	noun.person	Mr.GarsonPoole
510	noun.group	Tri-Planelectronic
511	noun.person	maker
512	noun.communication	identdart
513	noun.animal	prey
514	noun.attribute	radius
515	noun.phenomenon	encephwave
516	noun.person	Mr.Poole
518	noun.animal	ant
520	noun.artifact	component
521	noun.phenomenon	x-
522	noun.communication	ray
523	verb.communication	bearout
526	noun.person	nurse
530	noun.artifact	electricant
531	verb.contact	function
533	verb.stative	be
535	noun.artifact	hospitalboat
536	verb.motion	convey
537	noun.artifact	servicefacility
539	verb.social	function
543	verb.creation	design
544	noun.communication	delusion
545	noun.artifact	repairfacility
546	verb.communication	settle
547	noun.communication	bill
548	noun.artifact	frontdesk
551	verb.body	treat
554	noun.attribute	position
555	noun.communication	thankyou
560	verb.contact	install
561	noun.body	capillary
563	noun.artifact	stagevalve
564	noun.quantity	frog
565	noun.possession	salary
566	verb.contact	fuse
567	noun.act	labor
568	noun.act	abuse
570	verb.communication	pose
573	noun.act	clicking
574	noun.event	whirring
575	verb.communication	program
576	noun.person	slave
580	noun.possession	frog
581	verb.perception	test
582	noun.artifact	publiccarrier
583	noun.person	JackDaniel
584	verb.consumption	sip
585	verb.cognition	choose
586	verb.emotion	undermine
587	verb.stative	mimic
591	verb.cognition	absorb
592	verb.communication	Programmed
593	verb.stative	fit
594	verb.change	cut
595	verb.social	force
596	verb.motion	turn
597	verb.social	setabout
598	verb.body	remove
599	verb.contact	assemble
600	noun.artifact	complex
602	verb.emotion	baffle
603	noun.group	classBBB
605	noun.location	Boise
606	noun.location	Idaho
607	noun.act	use
608	verb.cognition	prorate
609	noun.artifact	buzzer
610	verb.communication	query
611	verb.cognition	takeintoaccount
612	noun.communication	audioinput
613	noun.person	querier
615	verb.communication	instruct
616	noun.communication	programming
617	verb.social	control
618	noun.act	behavior
619	verb.change	remove
620	verb.consumption	apply
621	noun.body	breastbone
622	verb.motion	ease
623	verb.change	comeoff
624	noun.artifact	controlmodule
625	noun.person	fone
626	noun.object	roll
627	noun.communication	punchtape
628	noun.body	heartmechanism
631	verb.change	dieout
632	verb.contact	yank
634	noun.artifact	spool
635	noun.artifact	scanner
636	noun.artifact	delivery
637	noun.artifact	take-up
638	noun.Tops	motion
640	verb.cognition	override
641	noun.artifact	deliverydrum
642	noun.substance	fone
643	verb.perception	relit
644	verb.social	recontacte
645	noun.time	secondlapse
649	verb.creation	programming
650	noun.artifact	turret
651	noun.body	neurologicalsystem
652	verb.change	emanate
654	noun.communication	query
655	verb.motion	flickoff
658	verb.change	disappear
659	noun.cognition	reality
660	verb.consumption	Fed
662	noun.body	centralnervoussystem
663	verb.change	unwind
664	verb.change	get
665	verb.creation	redress
666	noun.attribute	luxury
667	verb.change	import
669	verb.motion	leanback
670	noun.substance	nimbus
671	verb.communication	Bypass
672	noun.act	programming
673	verb.social	interfere
674	noun.artifact	realitytape
675	verb.cognition	deal
676	noun.cognition	universalization
677	noun.quantity	multitude
679	verb.change	setout
680	verb.possession	locate
681	noun.artifact	programmingcircuit
682	noun.state	function
683	verb.contact	set
684	verb.motion	go
687	noun.artifact	microtool
688	verb.cognition	enlarge
689	noun.person	foreman
691	noun.person	Mr.Danceman
692	noun.artifact	lenssystem
694	verb.stative	smoking
695	verb.motion	lug
697	noun.person	shopforeman
701	noun.location	shape
702	noun.artifact	punch
703	noun.body	hole
705	noun.event	charge
706	noun.substance	ferrousoxide
707	noun.artifact	slot
709	verb.stative	functionlike
710	noun.person	player
711	noun.act	punch
712	noun.artifact	hole
713	verb.possession	fillin
716	verb.creation	comeup
718	noun.time	timeperiod
719	verb.cognition	paintout
720	noun.phenomenon	stimuli
721	noun.artifact	microbrush
722	verb.contact	swab
723	noun.shape	section
724	noun.artifact	varnish
725	noun.artifact	supplykit
726	verb.contact	accompany
728	verb.cognition	smearout
729	noun.cognition	stimuli
730	verb.social	cover
732	verb.communication	overcome
736	noun.quantity	scotch
737	noun.food	sour
739	verb.communication	findout
740	verb.motion	raise
745	verb.emotion	prefer
747	verb.social	takeover
749	noun.location	ProxSystem
750	noun.location	Tri-Plan
752	noun.person	stockholder
753	noun.group	scatter
754	noun.person	MarvisBey
755	noun.person	husbandErnan
756	noun.location	Prox4
757	noun.possession	votestock
758	noun.cognition	policy
759	verb.possession	feed
760	noun.person	Beys
764	noun.location	NewYorkCity
767	verb.perception	lookaround
771	verb.motion	up
772	noun.person	stand
774	noun.person	Goodnight
776	verb.contact	searchfor
777	noun.artifact	cab
778	verb.communication	paint
779	noun.person	prostitute
780	noun.person	flower
781	noun.artifact	parkinglot
787	noun.act	pe
789	noun.location	nothingness
791	noun.time	fifteenminute
792	verb.contact	stub
793	verb.motion	shootoff
794	verb.contact	insert
795	verb.cognition	ponder
796	verb.contact	unlock
797	noun.artifact	livingroomchair
798	noun.person	captain
799	noun.artifact	kirk
801	noun.location	March
802	verb.body	peep
803	verb.contact	kneeldown
805	noun.substance	microtool
807	noun.cognition	standpoint
808	verb.change	openup
809	verb.cognition	explore
810	noun.artifact	microscrewdriver
811	verb.communication	demand
812	noun.person	employer
813	noun.group	Tri-plan
814	verb.cognition	respect
815	noun.shape	margin
817	noun.artifact	element
818	verb.change	reattache
819	noun.act	calculation
820	verb.social	fix
823	verb.social	free
826	verb.contact	gatherup
827	noun.person	captainkirk
828	verb.body	getinto
829	noun.artifact	tvchannel
830	noun.artifact	independent
831	noun.communication	tv
832	noun.artifact	set
833	noun.communication	channel
834	noun.artifact	cathoderay
835	verb.cognition	distinguish
836	noun.group	mixture
837	verb.cognition	perceive
838	verb.cognition	thinkof
840	noun.body	humanbrain
844	verb.change	kirk
846	noun.body	pillow
848	verb.change	turnoff
849	noun.quantity	Eleven
851	verb.cognition	see
852	noun.communication	nonsense
854	noun.act	mug
855	verb.change	stiffen
856	noun.state	immobility
857	verb.motion	drainaway
858	noun.Tops	object
859	verb.change	diminish
860	verb.motion	flit
861	verb.change	film
865	verb.communication	makeout
867	noun.artifact	doll
868	verb.contact	propup
869	verb.change	fade
870	verb.change	dwindle
871	verb.motion	eddy
872	noun.substance	element
873	verb.motion	collect
874	verb.motion	fallapart
876	verb.change	dissipate
877	verb.contact	closeover
